Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Female,First year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teaching language,3,No,4,4,You do not care about,5-7 hours,4,8,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Not having a good (powerful) computer,2,Yes,2,4,You do not care about,8 hours or more,1,5,6,5,7,Moderate,High,High,High,High,Low,12,High,High,Moderate,High,Moderate,Low,11,11,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,In peer,"Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,3,4,You do not care about,8 hours or more,2,7,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"34-41",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,3,No,3,1,You do not care about,5-7 hours,2,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Teaching language,3,No,4,4,Negatively,5-7 hours,2,9,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"34-41",In the school's library,In peer,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Lack of time,Lack of time,Lack of time,Lack of time,Pressure,Lack of time,Private life problems,3,No,5,5,You do not care about,5-7 hours,3,8,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Teachers' teaching method,Teaching language,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Not having a good (powerful) computer,2,No,2,3,Negatively,5-7 hours,3,4,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In the school's library,In peer,"Lectures, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents",Yes,Private life problems,Teachers' teaching method,Pressure,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teaching language,2,Yes,3,3,You do not care about,5-7 hours,2,10,8,8,7,,,,,,,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,High,High,High,High,High,12,11
Female,Second year,Science,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,1,No,1,5,Positively,4 hours or less,1,10,6,7,8,High,High,High,High,Moderate,High,13,Moderate,High,High,Moderate,Low,Moderate,10,11,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online tutorials",No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,3,No,3,4,Positively,5-7 hours,4,7,9,9,7,,,,,,,,,,,,,,,,High,High,Very High,High,High,High,High,High,High,High,High,Very High,Very High,Very High,High,High,14,14
Female,Second year,Mathematics,"18-25",In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,2,Yes,4,4,You do not care about,5-7 hours,2,9,5,5,7,Very High,High,High,High,Moderate,Very High,15,Moderate,Very High,Very High,High,Moderate,Moderate,12,13,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In the dorms' library,Alone,Lectures,Books,No,Lack of time,Bad quality of internet,Teachers' teaching method,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,2,No,3,4,You do not care about,5-7 hours,3,9,8,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In your room (dorms),Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Pressure,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of previous knowledge or experience in the field,Pressure,2,No,3,4,Positively,5-7 hours,3,8,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Private life problems,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3,Yes,3,3,You do not care about,5-7 hours,1,6,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Bad quality of internet,Teaching language,Private life problems,3,No,5,5,You do not care about,5-7 hours,5,9,6,6,8,Very High,High,High,High,Moderate,High,13,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,10,11,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Lack of time,Bad quality of internet,Teaching language,3,Yes,4,3,You do not care about,5-7 hours,4,8,10,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"34-41",In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,3,No,4,5,You do not care about,4 hours or less,3,8,7,8,8,High,High,High,High,Moderate,Moderate,13,Low,Moderate,High,Low,Moderate,Moderate,8,10,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Pressure,Private life problems,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,2,No,3,4,Negatively,5-7 hours,3,8,6,7,8,Very High,High,High,Very High,High,Very High,15,Moderate,High,Very High,Moderate,Moderate,Moderate,12,13,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"26-33",In your room (dorms),Alone,Online courses and tutorials,Online tutorials,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2,No,4,4,You do not care about,5-7 hours,3,10,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"10-17",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Online tutorials, YouTube videos",No,Lack of time,Pressure,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,3,No,4,4,You do not care about,5-7 hours,3,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",At home,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teaching language,3,No,3,4,Negatively,4 hours or less,1,9,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In the school's library,Alone,"Lectures, Learning by practicing","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3,No,3,3,Positively,5-7 hours,4,6,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Teaching language,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,4,Yes,5,5,Positively,5-7 hours,3,7,6,6,6,Very High,High,Very High,High,High,High,15,High,Very High,Very High,Very High,Moderate,Moderate,15,15,,,,,,,,,,,,,,,,,,
Male,First year,Science,"34-41",In your room (dorms),Alone,Learning by practicing,Online documents,Yes,Lack of time,Pressure,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,2,No,5,4,You do not care about,5-7 hours,3,8,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"10-17",In the school's library,In peer,"Learning by practicing, Project-based learning, Mind mapping and visualization","YouTube videos, Private courses",No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Pressure,Bad quality of internet,Lack of time,Private life problems,Not having a good (powerful) computer,3,Yes,3,5,You do not care about,8 hours or more,5,6,7,8,6,Very High,High,High,Very High,High,High,14,High,Very High,High,High,Moderate,High,13,13,,,,,,,,,,,,,,,,,,
Female,First year,Science,"26-33",In your room (dorms),Alone,Mind mapping and visualization,YouTube videos,Yes,Teaching language,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,1,Yes,5,3,You do not care about,4 hours or less,3,8,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"26-33",In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Teaching language,Bad quality of internet,Lack of time,Not having a good (powerful) computer,2,Yes,4,4,Positively,8 hours or more,2,7,7,7,8,Very High,High,Moderate,High,High,High,14,High,Very High,Very High,High,Moderate,High,14,14,,,,,,,,,,,,,,,,,,
Female,First year,Science,"26-33",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,1,4,Negatively,5-7 hours,1,7,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,4,No,4,5,Positively,5-7 hours,2,7,5,3,5,Very High,High,High,High,High,High,15,High,Moderate,High,High,High,Moderate,12,13,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"18-25",At home,In peer,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,3,No,3,3,Positively,5-7 hours,3,7,7,7,5,,,,,,,,,,,,,,,,High,High,High,High,High,High,High,High,High,High,Moderate,High,High,High,Moderate,High,12,13
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,Learning by practicing,Online documents,No,Lack of time,Bad quality of internet,Pressure,Teachers' teaching method,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,4,No,4,4,You do not care about,5-7 hours,4,8,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,4,No,4,3,Positively,8 hours or more,4,8,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"26-33",In the school's library,With a group,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Teaching language,Bad quality of internet,Pressure,Private life problems,Pressure,Not having a good (powerful) computer,Teachers' teaching method,3,No,4,5,Positively,8 hours or more,3,7,8,8,8,Very High,Very High,Very High,Very High,Very High,Very High,17,Very High,Very High,Very High,Very High,High,Very High,17,17,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"10-17",In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,2,No,2,5,Positively,5-7 hours,1,7,5,6,8,High,High,Moderate,High,Moderate,High,12,Moderate,High,High,High,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"10-17",In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3,Yes,3,3,You do not care about,8 hours or more,3,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"26-33",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",No,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,2,Yes,2,5,You do not care about,8 hours or more,1,8,5,4,6,High,High,Very High,Very High,Moderate,High,14,High,Moderate,High,Moderate,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"18-25",At home,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,3,Yes,3,4,You do not care about,5-7 hours,2,10,6,6,8,,,,,,,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,10,10
Female,Second year,Science,"34-41",In your room (dorms),With a group,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,3,No,3,3,Negatively,5-7 hours,2,8,7,5,6,Very High,Very High,Very High,Very High,High,High,16,High,Very High,High,High,High,High,14,15,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",At home,Alone,"Lectures, Learning by practicing","Online documents, Lectures, worksheets, labsheets",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,2,3,Negatively,5-7 hours,3,7,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"More than 41 hours",In the school's library,With a group,"Lectures, Learning by practicing","Online tutorials, YouTube videos",Yes,Teaching language,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Private life problems,1,No,1,1,Positively,8 hours or more,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",At home,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,4,No,5,5,You do not care about,5-7 hours,4,7,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"34-41",At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teaching language,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,2,Yes,1,3,You do not care about,5-7 hours,4,10,5,8,8,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,10,10
Female,First year,Technical maths,"10-17",At home,Alone,Online courses and tutorials,YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Teaching language,Pressure,Pressure,Pressure,Pressure,1,No,1,1,You do not care about,8 hours or more,1,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"34-41",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Pressure,Private life problems,2,No,3,4,Negatively,5-7 hours,1,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"34-41",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,2,No,5,5,Positively,5-7 hours,4,8,5,6,7,High,High,High,High,Moderate,High,12,Moderate,High,High,Moderate,Moderate,Low,11,11,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"More than 41 hours",In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,Teaching language,3,No,5,5,You do not care about,5-7 hours,3,10,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"26-33",In your room (dorms),In peer,Online courses and tutorials,"Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,1,No,2,1,Negatively,5-7 hours,1,6,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"18-25",At home,Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Bad quality of internet,Not having a good (powerful) computer,Private life problems,1,No,1,5,Negatively,8 hours or more,3,6,5,5,4,Very High,Very High,High,Very High,Very High,Very High,17,Very High,Very High,Very High,Very High,High,High,16,16,,,,,,,,,,,,,,,,,,
