Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Average S1,1Y_Average S2,1Y_Average,2Y_Average S1,2Y_Average S2,2Y_Average,3Y_Average S1,3Y_Average S2,3Y_Average
Female,First year,Mathematics,10-17,At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,3,No,4,4,You do not care about,5-7 hours,4,8,8,7,4,,,,,,,,,
Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,2,Yes,2,4,You do not care about,8 hours or more,1,5,6,5,7,12.0,11.0,11.0,,,,,,
Female,First year,Science,18-25,In the school's library,In peer,"Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,2,No,3,4,You do not care about,8 hours or more,2,7,3,4,1,,,,,,,,,
Female,First year,Mathematics,34-41,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Pressure,3,No,3,1,You do not care about,5-7 hours,2,3,4,2,2,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,3,No,4,4,Negatively,5-7 hours,2,9,8,8,4,,,,,,,,,
Male,First year,Mathematics,34-41,In the school's library,In peer,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Lack of time,Lack of time,3,No,5,5,You do not care about,5-7 hours,3,8,9,7,7,,,,,,,,,
Female,First year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Teachers' teaching method,Teaching language,2,No,2,3,Negatively,5-7 hours,3,4,8,5,5,,,,,,,,,
Female,Third year,Mathematics,10-17,In the school's library,In peer,"Lectures, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents",Yes,Private life problems,Teachers' teaching method,Pressure,2,Yes,3,3,You do not care about,5-7 hours,2,10,8,8,7,,,,Moderate,12.0,11.0,,,
Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,1,No,1,5,Positively,4 hours or less,1,10,6,7,8,13.0,10.0,11.0,,,,,,
Male,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online tutorials",No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,3,No,3,4,Positively,5-7 hours,4,7,9,9,7,,,,High,14.0,14.0,,,
Female,Second year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,4,4,You do not care about,5-7 hours,2,9,5,5,7,15.0,12.0,13.0,,,,,,
Female,First year,Mathematics,18-25,In the dorms' library,Alone,Lectures,Books,No,Lack of time,Bad quality of internet,Teachers' teaching method,2,No,3,4,You do not care about,5-7 hours,3,9,8,7,10,,,,,,,,,
Female,First year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Pressure,2,No,3,4,Positively,5-7 hours,3,8,6,5,5,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Private life problems,Pressure,Lack of time,3,Yes,3,3,You do not care about,5-7 hours,1,6,6,4,5,,,,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,3,No,5,5,You do not care about,5-7 hours,5,9,6,6,8,13.0,10.0,11.0,,,,,,
Male,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,3,Yes,4,3,You do not care about,5-7 hours,4,8,10,8,7,,,,,,,,,
Female,Second year,Science,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,3,No,4,5,You do not care about,4 hours or less,3,8,7,8,8,13.0,8.0,10.0,,,,,,
Female,Second year,Science,18-25,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Pressure,Private life problems,2,No,3,4,Negatively,5-7 hours,3,8,6,7,8,15.0,12.0,13.0,,,,,,
Male,First year,Mathematics,26-33,In your room (dorms),Alone,Online courses and tutorials,Online tutorials,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,No,4,4,You do not care about,5-7 hours,3,10,9,9,9,,,,,,,,,
Female,First year,Science,10-17,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Online tutorials, YouTube videos",No,Lack of time,Pressure,Teaching language,3,No,4,4,You do not care about,5-7 hours,3,5,7,5,7,,,,,,,,,
Female,First year,Mathematics,18-25,At home,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,3,No,3,4,Negatively,4 hours or less,1,9,8,7,8,,,,,,,,,
Female,First year,Mathematics,18-25,In the school's library,Alone,"Lectures, Learning by practicing","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Lack of time,Pressure,3,No,3,3,Positively,5-7 hours,4,6,5,5,6,,,,,,,,,
Female,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Private life problems,4,Yes,5,5,Positively,5-7 hours,3,7,6,6,6,15.0,15.0,15.0,,,,,,
Male,First year,Science,34-41,In your room (dorms),Alone,Learning by practicing,Online documents,Yes,Lack of time,Pressure,Private life problems,2,No,5,4,You do not care about,5-7 hours,3,8,6,6,5,,,,,,,,,
Male,Second year,Science,10-17,In the school's library,In peer,"Learning by practicing, Project-based learning, Mind mapping and visualization","YouTube videos, Private courses",No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,3,Yes,3,5,You do not care about,8 hours or more,5,6,7,8,6,14.0,13.0,13.0,,,,,,
Female,First year,Science,26-33,In your room (dorms),Alone,Mind mapping and visualization,YouTube videos,Yes,Teaching language,Lack of time,Bad quality of internet,1,Yes,5,3,You do not care about,4 hours or less,3,8,4,1,6,,,,,,,,,
Male,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,2,Yes,4,4,Positively,8 hours or more,2,7,7,7,8,14.0,14.0,14.0,,,,,,
Female,First year,Science,26-33,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,No,1,4,Negatively,5-7 hours,1,7,4,3,3,,,,,,,,,
Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,4,No,4,5,Positively,5-7 hours,2,7,5,3,5,15.0,12.0,13.0,,,,,,
Female,Third year,Mathematics,18-25,At home,In peer,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,3,No,3,3,Positively,5-7 hours,3,7,7,7,5,,,,High,12.0,13.0,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing,Online documents,No,Lack of time,Bad quality of internet,Pressure,4,No,4,4,You do not care about,5-7 hours,4,8,7,8,8,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Pressure,4,No,4,3,Positively,8 hours or more,4,8,7,6,7,,,,,,,,,
Female,Second year,Mathematics,26-33,In the school's library,With a group,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Teaching language,Bad quality of internet,3,No,4,5,Positively,8 hours or more,3,7,8,8,8,17.0,17.0,17.0,,,,,,
Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents",Yes,Lack of time,Bad quality of internet,Pressure,2,No,2,5,Positively,5-7 hours,1,7,5,6,8,12.0,11.0,12.0,,,,,,
Male,First year,Technical maths,10-17,In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,3,Yes,3,3,You do not care about,8 hours or more,3,6,6,6,7,,,,,,,,,
Female,Second year,Mathematics,26-33,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",No,Private life problems,Pressure,Lack of time,2,Yes,2,5,You do not care about,8 hours or more,1,8,5,4,6,14.0,11.0,12.0,,,,,,
Female,Third year,Mathematics,18-25,At home,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,3,Yes,3,4,You do not care about,5-7 hours,2,10,6,6,8,,,,Moderate,10.0,10.0,,,
Female,Second year,Science,34-41,In your room (dorms),With a group,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,3,No,3,3,Negatively,5-7 hours,2,8,7,5,6,16.0,14.0,15.0,,,,,,
Female,First year,Science,18-25,At home,Alone,"Lectures, Learning by practicing","Online documents, Lectures, worksheets, labsheets",No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,2,No,2,3,Negatively,5-7 hours,3,7,8,8,5,,,,,,,,,
Male,First year,Mathematics,More than 41 hours,In the school's library,With a group,"Lectures, Learning by practicing","Online tutorials, YouTube videos",Yes,Teaching language,Bad quality of internet,Lack of time,1,No,1,1,Positively,8 hours or more,1,1,1,1,1,,,,,,,,,
Female,First year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Lack of time,Pressure,Bad quality of internet,4,No,5,5,You do not care about,5-7 hours,4,7,8,7,6,,,,,,,,,
Female,Third year,Mathematics,34-41,At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teaching language,Lack of time,2,Yes,1,3,You do not care about,5-7 hours,4,10,5,8,8,,,,Moderate,10.0,10.0,,,
Female,First year,Technical maths,10-17,At home,Alone,Online courses and tutorials,YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,1,No,1,1,You do not care about,8 hours or more,1,5,3,3,5,,,,,,,,,
Female,First year,Mathematics,34-41,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,2,No,3,4,Negatively,5-7 hours,1,5,6,6,7,,,,,,,,,
Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Lack of time,Teachers' teaching method,Pressure,2,No,5,5,Positively,5-7 hours,4,8,5,6,7,12.0,11.0,11.0,,,,,,
Female,First year,Mathematics,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,3,No,5,5,You do not care about,5-7 hours,3,10,8,8,8,,,,,,,,,
Female,First year,Mathematics,26-33,In your room (dorms),In peer,Online courses and tutorials,"Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,1,No,2,1,Negatively,5-7 hours,1,6,6,5,5,,,,,,,,,
Male,Second year,Mathematics,18-25,At home,Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,1,No,1,5,Negatively,8 hours or more,3,6,5,5,4,17.0,16.0,16.0,,,,,,
Female,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teachers' teaching method,Pressure,Bad quality of internet,1,No,1,5,You do not care about,8 hours or more,2,2,1,2,2,,,,,,,,,
Female,Second year,Mathematics,10-17,At home,Alone,Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,2,No,4,4,Negatively,5-7 hours,2,7,6,6,5,15.0,11.0,13.0,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,3,Yes,3,3,You do not care about,5-7 hours,4,8,6,6,8,,,,High,9.0,11.0,,,
Male,First year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Bad quality of internet,Pressure,3,No,4,5,You do not care about,8 hours or more,3,5,6,6,6,,,,,,,,,
Female,First year,Mathematics,18-25,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Books, Online documents",No,Bad quality of internet,Pressure,Lack of time,3,No,3,4,You do not care about,4 hours or less,3,9,7,7,6,,,,,,,,,
Female,First year,Science,18-25,In your room (dorms),In peer,"Lectures, Learning by practicing","Books, Online documents, YouTube videos, other universities courses",No,Lack of time,Teachers' teaching method,Bad quality of internet,3,Yes,4,3,You do not care about,8 hours or more,4,8,7,6,6,,,,,,,,,
Male,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Teachers' teaching method,Pressure,2,Yes,4,5,You do not care about,8 hours or more,3,6,8,7,7,,,,High,12.0,12.0,,,
Male,First year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teaching language,Lack of previous knowledge or experience in the field,2,No,1,1,You do not care about,8 hours or more,5,2,2,2,3,,,,,,,,,
Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Private life problems,Pressure,2,Yes,2,4,You do not care about,5-7 hours,2,8,6,7,7,13.0,11.0,12.0,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,2,No,4,5,Negatively,5-7 hours,5,6,3,2,5,12.0,8.0,10.0,,,,,,
Male,First year,Science,26-33,In your room (dorms),In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,3,Yes,4,4,You do not care about,5-7 hours,3,7,2,2,2,,,,,,,,,
Male,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Private life problems,2,No,3,4,Negatively,5-7 hours,3,6,8,7,6,14.0,12.0,12.0,,,,,,
Male,Third year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online documents",No,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3,Yes,4,5,You do not care about,5-7 hours,3,9,8,8,7,,,,High,11.0,13.0,,,
Male,First year,Science,26-33,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,3,Yes,3,4,You do not care about,5-7 hours,3,8,9,8,6,,,,,,,,,
Male,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",No,Private life problems,Lack of time,Teachers' teaching method,2,Yes,4,3,You do not care about,8 hours or more,3,7,7,7,7,15.0,14.0,15.0,,,,,,
Female,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials",YouTube videos,Yes,Private life problems,Pressure,Bad quality of internet,1,No,1,1,Positively,8 hours or more,3,8,8,5,6,16.0,15.0,15.0,,,,,,
Female,First year,Mathematics,34-41,In your room (dorms),Alone,Lectures,YouTube videos,Yes,Pressure,Teachers' teaching method,Lack of time,3,No,3,3,You do not care about,5-7 hours,3,7,5,6,5,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,3,No,5,5,Positively,8 hours or more,1,5,5,5,4,,,,,,,,,
Female,Third year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,3,No,3,5,You do not care about,5-7 hours,2,9,6,6,5,,,,Moderate,10.0,10.0,,,
Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Teachers' teaching method,3,Yes,4,5,Positively,5-7 hours,4,9,8,7,7,14.0,14.0,14.0,,,,,,
Male,First year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,2,No,3,2,You do not care about,4 hours or less,3,8,7,7,4,,,,,,,,,
Female,Second year,Technical maths,More than 41 hours,In the school's library,In peer,"Lectures, Learning by practicing",YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,2,No,2,2,You do not care about,4 hours or less,1,6,7,3,9,15.0,14.0,15.0,,,,,,
Male,First year,Science,10-17,In your room (dorms),Alone,Learning by practicing,"Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,3,No,3,4,Negatively,5-7 hours,2,9,7,8,5,,,,,,,,,
Female,First year,Technical maths,10-17,In the school's library,Alone,"Lectures, Learning by practicing","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Lack of previous knowledge or experience in the field,2,Yes,3,2,Negatively,5-7 hours,2,9,6,6,5,,,,,,,,,
Male,Second year,Science,10-17,At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,2,No,2,3,Positively,5-7 hours,3,7,4,4,8,16.0,13.0,14.0,,,,,,
Male,First year,Technical maths,10-17,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,3,Yes,2,2,Negatively,8 hours or more,4,6,7,4,2,,,,,,,,,
Female,First year,Mathematics,More than 41 hours,In your room (dorms),Alone,Online courses and tutorials,Books,Yes,Teachers' teaching method,Lack of time,Pressure,1,No,1,3,Negatively,4 hours or less,1,5,7,4,7,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,3,No,5,5,Negatively,5-7 hours,3,4,7,6,5,,,,,,,,,
Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization",Online documents,No,Teachers' teaching method,Bad quality of internet,Lack of time,1,No,3,4,Positively,5-7 hours,5,8,7,7,8,16.0,16.0,16.0,,,,,,
Female,First year,Mathematics,34-41,In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,3,Yes,3,5,You do not care about,5-7 hours,3,8,5,5,7,,,,,,,,,
Female,First year,Science,More than 41 hours,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,3,Yes,3,3,Negatively,4 hours or less,2,8,5,6,7,,,,,,,,,
Female,Second year,Mathematics,More than 41 hours,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,2,No,5,4,You do not care about,5-7 hours,2,7,4,4,6,13.0,9.0,10.0,,,,,,
Male,First year,Science,10-17,In the school's library,In peer,Mind mapping and visualization,YouTube videos,No,Teaching language,Pressure,Bad quality of internet,4,No,5,5,You do not care about,5-7 hours,5,3,7,4,8,,,,,,,,,
Female,Third year,Technical maths,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,2,No,4,5,You do not care about,5-7 hours,3,7,7,8,6,,,,High,12.0,12.0,,,
Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,2,No,4,4,Positively,5-7 hours,3,7,5,4,4,13.0,10.0,11.0,,,,,,
Female,Third year,Technical maths,10-17,At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents",No,Pressure,Private life problems,Lack of previous knowledge or experience in the field,3,No,4,4,You do not care about,8 hours or more,3,9,8,7,5,,,,Moderate,9.0,10.0,,,
Female,First year,Mathematics,10-17,In the school's library,In peer,Learning by practicing,"Online tutorials, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,3,No,3,4,You do not care about,8 hours or more,4,4,5,5,8,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,"Books, YouTube videos",No,Bad quality of internet,Bad quality of internet,Bad quality of internet,2,No,3,3,You do not care about,5-7 hours,3,8,7,7,9,,,,Moderate,9.0,9.0,,,
Female,Second year,Science,More than 41 hours,In your room (dorms),With a group,Learning by practicing,"Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,2,No,3,4,You do not care about,5-7 hours,3,8,7,3,8,15.0,12.0,13.0,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,3,Yes,4,5,You do not care about,5-7 hours,3,9,9,9,7,15.0,13.0,14.0,,,,,,
